nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
78,0.380989665603175,0.316812798111397,0.500001583830523,0.403860019694695,0.254039781959497
135,0.381657521171028,0.31668621736338,0.500001521095952,0.404743406644469,0.255779830947022
211,0.381789812385352,0.316976688892321,0.500001543922432,0.404989516872555,0.247500582084891
358,0.381418834367226,0.316371718425411,0.500002273927126,0.4047188169092,0.254291934666487
450,0.404221354318214,0.38093242597197,0.31530689967177,0.500002327675769,0.256157084530381
789,0.379591928162489,0.315980171427919,0.500001540497346,0.403634684852583,0.252912999003489
877,0.500001519726973,0.403181801090804,0.379052541840752,0.315648215544776,0.257560968574211
1056,0.378231063289172,0.314085162846585,0.499999999999957,0.402704130847946,0.254823355041302
1106,0.314291410263218,0.500000734233477,0.402878649784179,0.37818434212565,0.254114232791553
1206,0.377860551080842,0.315230559019036,0.500001536124159,0.402607454659582,0.255286803893952
1350,0.500000789073252,0.400996579972765,0.376026694671018,0.312843038168743,0.252342232118784
1403,0.500001588236356,0.40093243549105,0.375572097039311,0.312816826819829,0.255295741328728
1539,0.374456769194496,0.311191642677889,0.500000770855044,0.400395854278165,0.25537211733787
1642,0.500002352116132,0.400119766783445,0.374186483398286,0.312046727867494,0.257099737299811
1827,0.373267369847582,0.311246773877547,0.500001562038613,0.399708667039181,0.253521545140481
1939,0.371792354550145,0.309969550138838,0.500001562038613,0.398316695256654,0.255490784435871
2090,0.500002376442376,0.397692390362293,0.370814489518521,0.309870040419485,0.25599368474359
2145,0.370623776365186,0.309525617075798,0.500001578130846,0.397711148052452,0.253799528236227
2253,0.499999999999991,0.397384997970001,0.370207487004975,0.309170972688398,0.254051775356571
2306,0.499999999999998,0.397006736014074,0.369742844511853,0.309710005076268,0.25160065828954
2437,0.367863540978861,0.307242760559787,0.50000156626659,0.395302158518422,0.253070096838807
2494,0.367926741116916,0.307926900844678,0.50000156626659,0.39531473891405,0.249188177132907
2554,0.367480621905488,0.307820378086976,0.500002336291024,0.395051433267639,0.250371150625508
2637,0.367011238664443,0.307304517394387,0.500002336291024,0.395007664704361,0.251829711675987
2687,0.367208857021299,0.307789410789415,0.500002336291024,0.395046101222954,0.253426938524083
2820,0.366903486524321,0.307789753812065,0.500002336291024,0.395030950465436,0.252710525532375
2876,0.36646366528776,0.307852339003613,0.500002336291024,0.394692558110864,0.250947524756992
2974,0.366176251421573,0.30769318891265,0.500002336291024,0.394457516497255,0.251614903279978
3072,0.364865017334354,0.307227757724873,0.50000156626659,0.393372062441929,0.248717891288864
3130,0.364935869089547,0.307228728574561,0.50000156626659,0.393711971070931,0.249826696957779
3177,0.364562733336041,0.307740717654545,0.50000156626659,0.393060595929067,0.251183940166143
3354,0.364288893615112,0.307425577720231,0.499999999999988,0.393013702573858,0.250410544027431
3412,0.364094923926716,0.307530923974615,0.50000156626659,0.393367955245919,0.248376378151372
3597,0.392525019430768,0.363308478216428,0.308151353128465,0.500000784703699,0.250170534369993
3645,0.392184470660177,0.36294482283167,0.307386822555938,0.500000000000045,0.247924995352337
3776,0.362343367201639,0.307608488430243,0.500002336291024,0.391958088379478,0.246309006706534
3826,0.362922900961599,0.308096868238769,0.500001543922432,0.392476843107352,0.247514494923847
3953,0.36159043444859,0.307348207863569,0.500002336291024,0.391238385612827,0.248103073320857
4013,0.308463898983385,0.499999999999989,0.392396761313156,0.362704391014997,0.24728915992766
4079,0.361677470368757,0.307653993654478,0.50000156626659,0.391298194514576,0.247721633221426
4229,0.361214787737039,0.307344118555968,0.500001529471474,0.391421116236107,0.244459519254345
4284,0.500000000000011,0.391448239815676,0.361310711509693,0.308243683714185,0.247190075584448
4409,0.500000000000011,0.391250238846656,0.361083658570938,0.307827078012002,0.247955386284607
4508,0.30845118541186,0.500000000000034,0.391373717922113,0.36105364853267,0.244249879668726
4577,0.360565968852378,0.308715175701685,0.500001562038613,0.390773003044099,0.244978624263444
4650,0.500002330278704,0.390460272250937,0.359955623419585,0.307423594154377,0.244977051216595
4830,0.500000000000009,0.390642113673477,0.360064883361595,0.308265826481551,0.246274870033863
4912,0.359591478495918,0.308096933494405,0.499999999999988,0.390001712530529,0.241331519532382
4960,0.500000000000011,0.390060792612904,0.359410894982032,0.308097485230838,0.242713826111733
5102,0.500000000000035,0.390280095961987,0.359700503286285,0.3092772341372,0.241451597945467
5174,0.358842557973243,0.308649653852873,0.500001550529983,0.38970358597919,0.240854873350183
5343,0.500001519172391,0.389342472923188,0.358784367200726,0.309134532469685,0.240285439785748
5420,0.309876248721512,0.500000757715648,0.389714493342209,0.359081086421679,0.242135050739401
5608,0.38936884250775,0.359154722120783,0.310682592592407,0.500002289728862,0.241836980362315
5742,0.500000000000003,0.388459100986891,0.357607155588113,0.309460044101721,0.242956251042247
5815,0.309026074296684,0.500000780665552,0.388345175595867,0.357236798743343,0.242700274165167
5910,0.308091430434401,0.500000757395062,0.387374188368918,0.35606987839659,0.242401277860917
5977,0.383755569698651,0.352596967276429,0.30601513176824,0.500002254053651,0.242423676474886
6041,0.305407127354955,0.50000073400116,0.384122232787076,0.352097778328866,0.243369297589375
6093,0.383545242622491,0.351715271587278,0.305480722745571,0.500002254053651,0.240083455614003
6175,0.305064321730176,0.50000073400116,0.383487794987142,0.351448474797489,0.240271896245229
6244,0.350500037855324,0.304326080924071,0.5000015176976,0.382876606807913,0.236639730355028
6384,0.350767417276657,0.30520595308143,0.500000000000046,0.383001112901769,0.239042797691909
6437,0.351027197101606,0.305251573137798,0.500000000000039,0.383519371727093,0.241133130384484
6580,0.350670581141093,0.305379592032376,0.500001525997351,0.383334849392087,0.234353808613024
6675,0.5,0.384402555363545,0.351775278198543,0.306677719853069,0.229383131079731
