nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
120149,0.5,0.435641535798063,0.410023614371081,0.381893228156027,0.294390306132233
120193,0.5,0.43586146183004,0.410961035078369,0.383201457266083,0.296053740311873
120243,0.433704137257905,0.409347146277747,0.381754859879486,0.50000407091486,0.300659234417592
120287,0.500003752218428,0.43433218451109,0.409093628298499,0.382561328649417,0.303349286167687
120407,0.405396515119612,0.378837808927694,0.500002273694394,0.430405913805817,0.299593393186804
120454,0.429485826755731,0.404885652412623,0.378608029028619,0.500003364650576,0.300783887285038
120563,0.427489344600282,0.403057078828366,0.376213653711748,0.500003054968172,0.300784339535792
120614,0.5,0.425776963722168,0.401199229087684,0.373927772971786,0.296831651866214
120661,0.500002077461131,0.425468310108201,0.40095409033108,0.373672394894328,0.291804300089102
120712,0.424817979836225,0.400617884734744,0.373663598714635,0.500001048924741,0.282329508012274
120757,0.401636563653707,0.374062064126242,0.500002047682778,0.425453613005735,0.276074590339081
120813,0.425347990129412,0.401574481288377,0.374582864633932,0.50000309036507,0.265258995443811
120859,0.500002137423524,0.425671654373377,0.401990225092082,0.374955922783524,0.261403887365641
120914,0.374915203545858,0.500000968199919,0.425410451130766,0.40163446521888,0.25302459864081
120962,0.5,0.4246502177782,0.401266486077732,0.374711256691706,0.249854043256784
121012,0.500001940913752,0.424096051584279,0.401043743342558,0.375528186179924,0.247540756243723
121062,0.375409142790117,0.500002799826658,0.424007275820518,0.401048829219333,0.24439160806972
121115,0.423626626306109,0.401202144701623,0.375882779212544,0.500003043315668,0.243339287576728
121161,0.375561195360198,0.500003082388203,0.4239861230155,0.401400545470574,0.242906269919566
121219,0.5,0.423764733182022,0.401125745175135,0.374942182159407,0.245960322771602
121283,0.400164354298726,0.374272525681101,0.500000964166288,0.423440851821541,0.247551973215739
121327,0.400833592940298,0.374865819567989,0.5,0.424047395695254,0.251790862587539
121377,0.373426161166939,0.500003014254404,0.422454909507886,0.399852185903674,0.255110086842858
121423,0.5,0.423529871875064,0.40039003574226,0.373965739938601,0.256190900980316
121484,0.372652672421907,0.500001016263092,0.422595851898304,0.3993425927802,0.264407502105448
121531,0.399606478384118,0.373634171518242,0.500002945453805,0.423274057201291,0.264670770938368
121581,0.400234685293129,0.373362252726021,0.500001999723402,0.42430788279727,0.267366088788355
121634,0.400636503392681,0.374601629680384,0.5,0.424867493209526,0.266448960769724
121684,0.400639510664093,0.373448157871037,0.500000000000014,0.424356018000643,0.267665901612347
121734,0.375305901267113,0.499999999999956,0.425313469816943,0.401478107623522,0.266305137106602
121786,0.400763176297819,0.373596175206797,0.500000000000012,0.424677048588945,0.262622936267823
121838,0.5,0.4258945093308,0.402252314936903,0.376262461213293,0.264173411693917
121893,0.499999999999954,0.426789694947667,0.403021870791087,0.37737380175737,0.259188138868844
121954,0.428445335875894,0.404793570727817,0.380119370722064,0.500000000000037,0.254335776411059
122015,0.500001576220522,0.429818988926238,0.406616196605394,0.381800185451448,0.254096991937031
122092,0.40973157187448,0.3861646222236,0.500000735945077,0.432961135435963,0.229371589258288
122158,0.412014417757673,0.388180185362324,0.500001471251594,0.434767594798645,0.22490363716709
122244,0.388335680028893,0.500000744386712,0.434736045671149,0.412088984551491,0.23682402064794
122301,0.500002287438007,0.4344778037362,0.411699394767486,0.387469370078829,0.251897365534305
122356,0.388576353416963,0.499999999999989,0.434817447202032,0.412536194819388,0.254269069778367
122423,0.412703701436638,0.389511906449049,0.499999999999957,0.434944385192662,0.257572056974688
122487,0.500000000000003,0.433983717675735,0.411426968055148,0.387548377941598,0.262991547286522
122553,0.500000000000048,0.434423934343469,0.411832574696072,0.387564877352561,0.265854576070393
122622,0.408777693905813,0.384616989901476,0.500001693592325,0.431353201198582,0.26673974955515
122687,0.431587710925796,0.408748484190846,0.385028340960656,0.500002483692408,0.270026399769918
122755,0.405824690529404,0.38218473406069,0.5000017366985,0.428449116979366,0.270573993995532
122837,0.405398071738178,0.381860350333104,0.500000871459685,0.42808947774814,0.270878388248115
122888,0.405980621577609,0.382318984848123,0.500001703795283,0.428663071466386,0.269025529845432
122971,0.428159090293971,0.4057179325698,0.381768324631669,0.500002406362036,0.263795306076193
