nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
173,0.499999999999987,0.431104156661217,0.416815268541563,0.369458504521776,0.281927921027921
220,0.500001806290243,0.430593937110802,0.416215397457675,0.368834253927363,0.285729777425276
307,0.36800212720101,0.500000000000044,0.43023759193836,0.415661189022543,0.285777857208926
493,0.368622467333639,0.500000919052194,0.430382886846456,0.416131968830233,0.28519710071419
601,0.430249168806196,0.416021434230168,0.368422078403236,0.500001793615113,0.28537146115473
644,0.500001806290243,0.431045701997288,0.416367034385554,0.368807558731865,0.28285156615382
738,0.499999999999946,0.430922289759989,0.416769771350344,0.369012189636261,0.284450570237304
927,0.36830121426492,0.500000000000044,0.430066462263819,0.415640503901676,0.283327207112276
980,0.417202541196635,0.369449863724555,0.500001826000799,0.431473558528517,0.282717609684944
1108,0.430491533337433,0.416249421658032,0.368641757001427,0.500002703036379,0.282315766037967
1152,0.431088831381535,0.417026828213396,0.370359574084386,0.500000860752359,0.281757145777408
1284,0.500001852547978,0.431480406021745,0.417553344189466,0.370126454486169,0.282629053016169
1329,0.500001852547978,0.431626951669315,0.417299389135858,0.369979325442169,0.28389841048304
1448,0.499999999999997,0.431002295887876,0.416898852349541,0.369951534962516,0.281995126875716
1627,0.499999999999997,0.430190732228757,0.416299835447739,0.368356675998613,0.282831713985318
1682,0.50000086709419,0.430101885161386,0.415777597710087,0.368757457931526,0.281461946936666
1829,0.5,0.430770485339918,0.416261545694661,0.368311194485623,0.280514234878121
1886,0.369012997469555,0.500000867744688,0.430786733029974,0.416469857006202,0.281019109141753
2008,0.430989371697609,0.417097287651079,0.369167332599335,0.500000866193213,0.281695693943979
2058,0.416847825690718,0.369082257714938,0.500002577304417,0.430777152010038,0.280277576130836
2106,0.417871238134979,0.370384864132744,0.49999999999999,0.431775068263211,0.282588135414037
2152,0.500000000000042,0.431297231863485,0.417609120844938,0.37023048534434,0.281316132196922
2202,0.368780526971996,0.500001648215494,0.430619575130514,0.416799910692779,0.280785368105517
2313,0.431145535815362,0.417497086061071,0.370392570420943,0.49999999999999,0.279416599463741
2363,0.370480234765765,0.500000000000038,0.431301008517561,0.417645958126071,0.280528462669134
2412,0.500000000000001,0.43154243541417,0.418005079190728,0.371386719755258,0.278545190748036
2484,0.500002495925514,0.431569725853969,0.418191132347981,0.371382841798919,0.281534822409796
2547,0.499999999999997,0.431495479501388,0.418043082090228,0.370718700885162,0.279072198820585
2594,0.41843890527179,0.371512733684726,0.499999999999959,0.431934564681286,0.279044143907859
2648,0.370546761663794,0.500002685536836,0.431539284001244,0.418125163908021,0.280135115972617
2746,0.431848762567386,0.418466469934145,0.371042342185623,0.500002642503689,0.277508277944907
2818,0.49999999999999,0.432097035839216,0.418900687537003,0.371783617593057,0.280769609374027
2912,0.418143676604119,0.371090184460938,0.499999999999997,0.431440394429456,0.276978894997955
2984,0.500000856025962,0.431932400546884,0.418644082373067,0.371294456339294,0.278736073596832
3108,0.432057296946345,0.418899526798913,0.371422484043865,0.500002642503689,0.279330886781647
3155,0.432101479033908,0.418723176597655,0.370216531614231,0.500002642503689,0.278602201925652
3216,0.431949024339977,0.418624386458581,0.371105286740703,0.500002642503689,0.280166926966841
3279,0.418703038023694,0.370645115660233,0.500000000000041,0.432139903323864,0.278006491863882
3392,0.431943615773851,0.418531438574337,0.370440829547983,0.500002642503689,0.279444787355056
3518,0.418107695465388,0.369230392067282,0.500002510361931,0.431594965621016,0.27827558866574
3567,0.418170796166253,0.36960020359479,0.500000000000041,0.431473426339884,0.276832176792839
3611,0.430994219523693,0.417424665110449,0.368752521796595,0.500002613005508,0.278423907177783
3710,0.430726924726083,0.416753615560501,0.368526143258481,0.500002613005508,0.277875585289373
3761,0.417128864409861,0.368541544494024,0.50000254428861,0.430903538913694,0.279058617536725
3811,0.430870560936471,0.416696365074621,0.368152795313771,0.50000249772092,0.277502062322953
3856,0.499999999999988,0.430604680973966,0.416358756549448,0.367072964413145,0.278708713204931
3978,0.500000000000012,0.429993079269308,0.415252106503189,0.366466073289729,0.27955951162154
4057,0.429553631515237,0.414474578719778,0.366066377238228,0.50000249772092,0.278499519600788
4118,0.365414948958085,0.500001636518224,0.429374535447892,0.414044881982597,0.276272450677581
4268,0.362823488965645,0.500000831130527,0.428668311397684,0.412921612363752,0.278222438547666
4321,0.363246256566073,0.500000833902881,0.428557625843248,0.412471884994529,0.277138559680611
4543,0.411126431151499,0.361536419086752,0.500001647388343,0.42790185888908,0.276483315846497
4590,0.360245940894123,0.50000082975079,0.427147054717851,0.409739694001752,0.279184722085937
4679,0.359798466762741,0.50000082975079,0.426306946035822,0.408856185389708,0.277327569703693
4732,0.359693504267654,0.50000082975079,0.426659788860769,0.40868408633366,0.280160309558935
4811,0.358535694682457,0.50000082975079,0.425998866583039,0.408136459997191,0.278550052656402
4868,0.358168747551044,0.50000082975079,0.425958956092062,0.407527968616405,0.277675040424782
4914,0.35698211185315,0.50000082975079,0.42560558535703,0.407368059220798,0.277410766950232
4982,0.40646130121364,0.35639186774194,0.500000818857136,0.425226482116888,0.277806935572935
5053,0.356571728248236,0.50000082975079,0.425257038132018,0.405957302422854,0.277310589545055
5150,0.353549206353327,0.50000082975079,0.424444191658308,0.404841241967856,0.277832670286107
5204,0.353430917159656,0.50000082975079,0.424138150336405,0.404435585441188,0.279163175435578
5255,0.500001593703869,0.424143372512187,0.403954428466753,0.35364035503625,0.277900724283132
5349,0.352813573152623,0.500002450742888,0.423884798316204,0.403525597806682,0.278300189094992
