nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
159036,0.50000166043144,0.43675250367062,0.417361949498462,0.387751691336406,0.202525452914555
159108,0.5,0.437006383553208,0.417831864680175,0.388097337757666,0.202902414327876
159159,0.5,0.436486260353456,0.416625674904764,0.387730488243344,0.208877436019522
159184,0,0,0,0,0
159207,0,0,0,0,0
159251,0.384980581522321,0.500002122975753,0.435745585938874,0.415060018950559,0.226914549030946
159286,0.500003606710208,0.435329653356443,0.414950558371165,0.385727469060954,0.23229107052983
159351,0.414110405230974,0.384902703987393,0.500004348790398,0.434281354726801,0.217162813583501
159408,0.500004196655351,0.433934861307456,0.413973371125171,0.38571451669837,0.220182716087484
159451,0.383733432469781,0.5,0.4338564316458,0.413039021715559,0.215511803389225
159487,0.433383169078097,0.413066356549009,0.384204162380921,0.500002013867412,0.215408962987053
159522,0.500001896708853,0.432704373720033,0.412079759210935,0.383493855734637,0.217813720323024
159556,0.433199589299362,0.412402690223828,0.382965436319784,0.500005762238254,0.216092250192454
159593,0.5,0.433136292383134,0.412967162551562,0.383512837949247,0.217899137966413
159627,0.412830342198147,0.383850802704149,0.500004113787289,0.433263410665588,0.21362093299791
159649,0,0,0,0,0
159696,0.5,0.434283283629819,0.413433275441193,0.384796855069537,0.213741127972795
159740,0.385095875780234,0.500006379625958,0.434705342237358,0.414108338400745,0.219506392963698
159793,0.500004388640794,0.434186724743335,0.41324522138182,0.38410187185445,0.220776076558157
159842,0.384191487142176,0.500002707290364,0.434533284396023,0.414154879240006,0.222941539383838
159879,0,0,0,0,0
159918,0,0,0,0,0
159943,0,0,0,0,0
159966,0,0,0,0,0
160942,0,0,0,0,0
160974,0,0,0,0,0
161026,0,0,0,0,0
161068,0,0,0,0,0
161104,0,0,0,0,0
161137,0,0,0,0,0
161169,0,0,0,0,0
161203,0,0,0,0,0
161256,0,0,0,0,0
161284,0,0,0,0,0
161309,0,0,0,0,0
161339,0,0,0,0,0
161371,0,0,0,0,0
161405,0,0,0,0,0
161437,0,0,0,0,0
161473,0,0,0,0,0
161506,0,0,0,0,0
161539,0,0,0,0,0
161579,0,0,0,0,0
161607,0,0,0,0,0
161640,0,0,0,0,0
161672,0,0,0,0,0
161712,0,0,0,0,0
161734,0,0,0,0,0
161769,0,0,0,0,0
161802,0,0,0,0,0
161836,0,0,0,0,0
161869,0,0,0,0,0
161905,0,0,0,0,0
161936,0,0,0,0,0
161973,0,0,0,0,0
162024,0,0,0,0,0
162061,0,0,0,0,0
162087,0,0,0,0,0
162112,0,0,0,0,0
162138,0,0,0,0,0
162174,0,0,0,0,0
162211,0,0,0,0,0
162239,0,0,0,0,0
162274,0,0,0,0,0
162307,0,0,0,0,0
162343,0,0,0,0,0
162372,0,0,0,0,0
162409,0,0,0,0,0
162441,0,0,0,0,0
162477,0,0,0,0,0
162506,0,0,0,0,0
162538,0,0,0,0,0
162568,0,0,0,0,0
162601,0,0,0,0,0
162634,0,0,0,0,0
162670,0,0,0,0,0
162737,0,0,0,0,0
162769,0,0,0,0,0
162801,0,0,0,0,0
162833,0,0,0,0,0
162867,0,0,0,0,0
162901,0,0,0,0,0
162934,0,0,0,0,0
162966,0,0,0,0,0
163004,0,0,0,0,0
163065,0,0,0,0,0
163100,0,0,0,0,0
163132,0,0,0,0,0
163166,0,0,0,0,0
163200,0,0,0,0,0
163232,0,0,0,0,0
163266,0,0,0,0,0
163365,0,0,0,0,0
163400,0,0,0,0,0
163432,0,0,0,0,0
163472,0,0,0,0,0
163520,0,0,0,0,0
163557,0,0,0,0,0
163581,0,0,0,0,0
163602,0,0,0,0,0
163633,0,0,0,0,0
163665,0,0,0,0,0
163701,0,0,0,0,0
163734,0,0,0,0,0
163765,0,0,0,0,0
163802,0,0,0,0,0
163841,0,0,0,0,0
163874,0,0,0,0,0
163908,0,0,0,0,0
163937,0,0,0,0,0
163968,0,0,0,0,0
164002,0,0,0,0,0
164066,0,0,0,0,0
164124,0,0,0,0,0
164164,0,0,0,0,0
164190,0,0,0,0,0
164212,0,0,0,0,0
164233,0,0,0,0,0
164272,0,0,0,0,0
164309,0,0,0,0,0
164344,0,0,0,0,0
164374,0,0,0,0,0
164401,0,0,0,0,0
164433,0,0,0,0,0
164466,0,0,0,0,0
164513,0,0,0,0,0
164552,0,0,0,0,0
164577,0,0,0,0,0
164601,0,0,0,0,0
164633,0,0,0,0,0
164666,0,0,0,0,0
164700,0,0,0,0,0
164733,0,0,0,0,0
164766,0,0,0,0,0
