nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
47577,0.5,0.428075955599834,0.405139892653041,0.393649817756853,0.280986882587016
47698,0.500003094904789,0.428628726766078,0.405700741228301,0.393877126240285,0.281515916683674
47746,0.42857539427459,0.405946040862762,0.393783465094634,0.500003083148414,0.280514526835634
47884,0.50000098920902,0.427047690809871,0.40472746836364,0.39208995370687,0.279819520150992
47956,0.500000976565078,0.428573874914714,0.40549816012243,0.392052480017761,0.280171458129086
48042,0.500003104231086,0.427401098473704,0.404294893498505,0.391709674614642,0.279231147045515
48138,0.500001982187334,0.427552461337287,0.40483788440449,0.392237897078075,0.278456908844145
48193,0.500002946750237,0.427460652422854,0.404705692795828,0.391578291138048,0.281371862623777
48238,0.39226018090966,0.500002970699958,0.427794365758987,0.404758376412901,0.275306518992762
48310,0.5,0.428524426059277,0.40566040208387,0.39386283285605,0.279960429197952
48404,0.391610137870796,0.5,0.427540448200061,0.404787456296835,0.278167265421448
48476,0.500002979338994,0.428004272345568,0.404868038604491,0.390691061211094,0.279209146711945
48537,0.5,0.428610928126858,0.405377714621853,0.393463870680878,0.277073113802844
48582,0.5,0.428449586106569,0.405072556536922,0.393802574725374,0.27935153063059
48672,0.5,0.42837808987226,0.405356455449044,0.394069712307981,0.277814114710189
48714,0.405386757562147,0.39415201832394,0.500002985125305,0.428187276721344,0.277483814410671
48777,0.405018287740611,0.393242638342761,0.500002985125305,0.428140034689927,0.276143687254313
48836,0.394632771029925,0.500002993847294,0.428755655462757,0.405731467698036,0.278605577872298
48882,0.405229612415092,0.393771036685011,0.5,0.428048707422805,0.274152300481021
48938,0.5,0.428019834771999,0.405258043553256,0.394214918018505,0.275854713418285
49035,0.39465708763711,0.500002993847294,0.429067250539737,0.405985814338934,0.275961832156985
49110,0.5,0.428545127614889,0.405396185371434,0.394388513518142,0.279303751639728
49159,0.405379001928276,0.393743516265019,0.500002022469551,0.428627034909436,0.275163896072761
49215,0.500002018354736,0.4284530723805,0.405519671060407,0.394617819623015,0.278521846139481
49274,0.405370239687523,0.394517045920442,0.500001012133214,0.428139570228534,0.274902986276002
49416,0.395670065938853,0.500002993847294,0.429401145666607,0.406270595173383,0.276445152089411
49477,0.5,0.428281943292386,0.405383079477253,0.394739255480703,0.279145970410933
49655,0.5,0.428564210060573,0.405644180563105,0.394501351225869,0.278921931647927
49705,0.500003018427638,0.429209771983607,0.405928105106301,0.396567827561396,0.276756819327261
49755,0.405747953499456,0.395046164427748,0.500003030623942,0.428595898779233,0.276159895690668
49805,0.500001013133862,0.428837374006324,0.405762400674225,0.395960292551451,0.278120184333179
49902,0.429121805517752,0.406024995422882,0.397413576261189,0.500001990108836,0.274790492606975
49950,0.500001013133862,0.428743912238503,0.405524705198853,0.395756234906885,0.277022251779731
50006,0.500002055426809,0.428341179142944,0.405180762057583,0.395814245545966,0.27683841184494
50078,0.500002055426809,0.428186696480615,0.404978041088007,0.39567377486177,0.276783649097126
50151,0.5,0.428556404780418,0.405730216594409,0.396660687829206,0.275388453498337
50210,0.500003043709984,0.429084031687061,0.4058829414292,0.396848205052086,0.275411679602888
50265,0.500000978521955,0.427765137481588,0.405095416475528,0.395760901715662,0.276109315831216
50316,0.500000986492391,0.42894506137721,0.405864258796954,0.396627769226999,0.275253311574386
50367,0.500000978521955,0.42829960909951,0.405039914180726,0.396351226003865,0.276245145854248
50416,0.40585215593725,0.397470891965277,0.500000975483876,0.428963037380986,0.272603015779721
50473,0.500000978521955,0.428384938194131,0.405541745552772,0.396541719304012,0.276223754333137
50540,0.405895220364065,0.398154685282681,0.500001994172788,0.429157706222466,0.274100942463754
50605,0.500000979412218,0.428238796608005,0.405752721805915,0.396698628414615,0.275317683164467
50704,0.405888033880655,0.397994865915785,0.500000975483876,0.429105494714941,0.270648328238589
50755,0.405665456930868,0.397326158816761,0.500000975483876,0.429087773644435,0.271885319435243
50815,0.406089437395293,0.397844784588082,0.500000975483876,0.429176981078077,0.271514869120167
50880,0.405973848931542,0.398889677655424,0.500000975483876,0.428866653117906,0.271606989212327
50950,0.500000991877098,0.428828422269042,0.405385321896045,0.398156198660027,0.274489658885646
51014,0.500002034186099,0.429067680102199,0.406093258325247,0.398624844597172,0.274005053233093
51078,0.406198917480534,0.399317042137476,0.500003042327324,0.429121869489113,0.271056126006357
